id,label
0,half
1,half
2,half
3,crown
4,crown
5,half
6,crown
7,half
8,half
9,crown
10,half
11,crown
12,crown
13,crown
14,half
15,crown
16,crown
17,crown
18,crown
19,crown
20,crown
21,crown
22,crown
23,crown
24,crown
25,half
26,crown
27,half
28,half
29,crown
30,crown
31,crown
32,crown
33,crown
34,crown
35,crown
36,half
37,veu
38,half
39,half
40,half
41,half
42,half
43,half
44,half
45,half
46,crown
47,half
48,half
49,plakat
50,plakat
51,half
52,half
53,half
54,veu
55,veu
56,half
57,half
58,plakat
59,half
60,half
61,half
62,crown
63,half
64,veu
65,veu
66,half
67,half
68,half
69,crown
70,half
71,half
72,half
73,half
74,half
75,half
76,half
77,half
78,plakat
79,half
80,plakat
81,half
82,half
83,veu
84,plakat
85,half
86,half
87,plakat
88,half
89,half
90,crown
91,crown
92,veu
93,half
94,half
95,veu
96,half
97,half
98,half
99,half
100,plakat
101,half
102,half
103,half
104,half
105,half
106,half
107,half
108,half
109,half
110,half
111,half
112,half
113,half
114,half
115,half
116,half
117,half
118,half
119,half
120,half
121,half
122,half
123,half
124,half
125,half
126,half
127,half
128,half
129,half
130,half
131,half
132,half
133,half
134,half
135,half
136,half
137,half
138,half
139,plakat
140,plakat
141,plakat
142,plakat
143,plakat
144,plakat
145,plakat
146,plakat
147,plakat
148,plakat
149,plakat
150,plakat
151,plakat
152,plakat
153,plakat
154,plakat
155,plakat
156,plakat
157,plakat
158,plakat
159,plakat
160,plakat
161,plakat
162,veu
163,veu
164,veu
165,veu
166,veu
167,veu
168,veu
169,veu
170,veu
171,veu
172,veu
173,veu
174,veu
175,veu
176,half
177,half
178,half
179,half
180,half
181,plakat
182,plakat
183,plakat
184,veu
185,veu
186,veu
187,veu
188,veu
189,veu
190,veu
191,veu
192,veu
193,veu
194,veu
195,veu
196,veu
197,veu
198,veu
199,veu
200,veu
201,veu
202,veu
203,veu
204,veu
205,veu
206,veu
207,veu
208,veu
209,veu
210,veu
211,veu
212,veu
213,veu
214,veu
215,veu
216,veu
217,veu
218,veu
219,veu
220,veu
221,veu
222,veu
223,veu
224,veu
225,veu
226,veu
227,veu
228,veu
229,veu
230,veu
231,veu
232,veu
233,veu
234,veu
235,veu
236,veu
237,veu
238,veu
239,veu
240,veu
241,veu
242,veu
243,veu
244,veu
245,veu
246,veu
247,veu
248,veu
249,veu
250,veu
251,veu
252,veu
253,veu
254,veu
255,veu
256,veu
257,veu
258,veu
259,veu
260,veu
261,veu
262,veu
263,veu
264,veu
265,veu
266,veu
267,veu
268,veu
269,veu
270,veu
271,veu
272,veu
273,crown
274,crown
275,crown
276,crown
277,crown
278,crown
279,crown
280,crown
281,crown
282,crown
283,crown
284,crown
285,crown
286,crown
287,crown
288,crown
289,crown
290,crown
291,crown
292,crown
293,crown
294,crown
295,crown
296,crown
297,crown
298,crown
299,crown
300,crown
301,crown
302,crown
303,crown
304,crown
305,crown
306,crown
307,crown
308,crown
309,crown
310,crown
311,crown
312,crown
313,crown
314,crown
315,crown
316,crown
317,crown
318,crown
319,crown
320,crown
321,crown
322,crown
323,crown
324,crown
325,crown
326,crown
327,crown
328,crown
329,crown
330,crown
331,crown
332,crown
333,crown
334,crown
335,crown
336,crown
337,crown
338,crown
339,crown
340,crown
341,crown
342,crown
343,crown
344,crown
345,crown
346,crown
347,crown
348,crown
349,crown
350,crown
351,crown
352,crown
353,crown
354,crown
355,crown
356,crown
357,crown
358,crown
359,crown
360,crown
361,crown
362,crown
363,crown
364,crown
365,crown
366,crown
367,crown
368,crown
369,crown
370,crown
371,crown
372,crown
373,crown
374,crown
375,crown
376,crown
377,crown
378,crown
379,crown
380,crown
381,crown
382,crown
383,crown
384,crown
385,crown
386,crown
387,crown
388,crown
389,crown
390,crown
391,crown
392,crown
393,crown
394,crown
395,crown
396,crown
397,crown
398,crown
399,crown
400,crown
401,crown
402,crown
403,crown
404,crown
405,crown
406,crown
407,crown
408,crown
409,crown
410,crown
411,crown
412,crown
413,crown
414,crown
415,crown
416,crown
417,crown
418,crown
419,crown
420,crown
421,crown
422,crown
423,crown
424,crown
425,crown
426,crown
427,crown
428,crown
429,crown
430,crown
431,crown
432,crown
433,crown
434,crown
435,crown
436,crown
437,crown
438,crown
439,crown
440,crown
441,crown
442,crown
443,half
444,half
445,half
446,half
447,half
448,half
449,half
450,half
451,half
452,half
453,half
454,half
455,half
456,half
457,half
458,half
459,half
460,half
461,half
462,half
463,half
464,half
465,half
466,half
467,half
468,half
469,half
470,half
471,half
472,half
473,half
474,half
475,half
476,half
477,half
478,half
479,half
480,half
481,half
482,half
483,half
484,half
485,half
486,half
487,half
488,half
489,half
490,half
491,half
492,half
493,half
494,half
495,half
496,half
497,half
498,half
499,half
500,half
501,half
502,half
503,half
504,half
505,half
506,half
507,half
508,half
509,half
510,half
511,half
512,half
513,half
514,half
515,half
516,half
517,half
518,half
519,plakat
520,plakat
521,plakat
522,plakat
523,plakat
524,plakat
525,plakat
526,plakat
527,plakat
528,plakat
529,plakat
530,plakat
531,plakat
532,plakat
533,plakat
534,plakat
535,plakat
536,plakat
537,plakat
538,plakat
539,plakat
540,plakat
541,plakat
542,plakat
543,plakat
544,plakat
545,plakat
546,plakat
547,plakat
548,plakat
549,plakat
550,plakat
551,plakat
552,plakat
553,plakat
554,plakat
555,plakat
556,plakat
557,plakat
558,plakat
559,plakat
560,plakat
561,plakat
562,plakat
563,plakat
564,plakat
565,plakat
566,plakat
567,plakat
568,plakat
569,plakat
570,plakat
571,plakat
572,plakat
573,plakat
574,plakat
575,plakat
576,plakat
577,plakat
578,plakat
579,plakat
580,plakat
581,plakat
582,plakat
583,plakat
584,plakat
585,plakat
586,plakat
587,plakat
588,plakat
589,plakat
590,plakat
591,plakat
592,plakat
593,plakat
594,plakat
595,plakat
596,plakat
