id,label
0,veu
1,half
2,half
3,half
4,half
5,half
6,half
7,half
8,half
9,crown
10,crown
11,crown
12,crown
13,crown
14,crown
15,half
16,plakat
17,plakat
18,plakat
19,plakat
20,plakat
21,half
22,crown
23,veu
24,half
25,veu
26,half
27,plakat
28,plakat
29,half
30,crown
31,plakat
32,half
33,plakat
34,half
35,plakat
36,plakat
37,plakat
38,plakat
39,plakat
40,half
41,veu
42,half
43,half
44,half
45,half
46,half
47,plakat
48,veu
49,veu
50,veu
51,veu
52,crown
53,half
54,half
55,plakat
56,plakat
57,half
58,plakat
59,plakat
60,plakat
61,plakat
62,veu
63,half
64,plakat
65,plakat
66,plakat
67,plakat
68,plakat
69,plakat
70,plakat
71,plakat
72,plakat
73,plakat
74,plakat
75,veu
76,veu
77,veu
78,veu
79,veu
80,half
81,veu
82,veu
83,veu
84,veu
85,veu
86,veu
87,veu
88,crown
89,plakat
90,plakat
91,plakat
92,half
93,half
94,plakat
95,veu
96,crown
97,plakat
98,veu
99,crown
